season,prediction_week,prediction_date,prediction_time,game_id,team,opponent,is_home,current_wins,current_losses,current_ties,games_played_entering,games_remaining,expected_remaining_wins,projected_final_win_equiv,projected_final_loss_equiv,actual_wins,actual_losses,actual_ties,actual_games,actual_win_equiv,win_equiv_error,abs_win_equiv_error,rounded_projected_wins,rounded_projected_losses,rounded_projected_record
2025,1.0,2025-09-07,8:20PM,2025_1.0_2025-09-07_8:20PM_Baltimore Ravens_at_Buffalo Bills,Buffalo Bills,Baltimore Ravens,1,0,0,0,0,17,11.884599843042288,11.884599843042288,5.115400156957712,12,5,0,17,12.0,-0.11540015695771189,0.11540015695771189,12,5,12-5
2025,1.0,2025-09-07,4:25PM,2025_1.0_2025-09-07_4:25PM_Detroit Lions_at_Green Bay Packers,Detroit Lions,Green Bay Packers,0,0,0,0,0,17,11.634038675396955,11.634038675396955,5.365961324603045,9,8,0,17,9.0,2.6340386753969547,2.6340386753969547,12,5,12-5
2025,1.0,2025-09-07,8:20PM,2025_1.0_2025-09-07_8:20PM_Baltimore Ravens_at_Buffalo Bills,Baltimore Ravens,Buffalo Bills,0,0,0,0,0,17,10.812839900218377,10.812839900218377,6.187160099781623,8,9,0,17,8.0,2.8128399002183766,2.8128399002183766,11,6,11-6
2025,1.0,2025-09-07,4:05PM,2025_1.0_2025-09-07_4:05PM_Tennessee Titans_at_Denver Broncos,Denver Broncos,Tennessee Titans,1,0,0,0,0,17,10.183663666986133,10.183663666986133,6.816336333013867,14,3,0,17,14.0,-3.816336333013867,3.816336333013867,10,7,10-7
2025,1.0,2025-09-07,1:00PM,2025_1.0_2025-09-07_1:00PM_Tampa Bay Buccaneers_at_Atlanta Falcons,Tampa Bay Buccaneers,Atlanta Falcons,0,0,0,0,0,17,10.114133344847252,10.114133344847252,6.885866655152748,8,9,0,17,8.0,2.114133344847252,2.114133344847252,10,7,10-7
2025,1.0,2025-09-07,1:00PM,2025_1.0_2025-09-07_1:00PM_Miami Dolphins_at_Indianapolis Colts,Indianapolis Colts,Miami Dolphins,1,0,0,0,0,17,10.108684918271932,10.108684918271932,6.891315081728068,8,9,0,17,8.0,2.1086849182719316,2.1086849182719316,10,7,10-7
2025,1.0,2025-09-07,4:25PM,2025_1.0_2025-09-07_4:25PM_Detroit Lions_at_Green Bay Packers,Green Bay Packers,Detroit Lions,1,0,0,0,0,17,9.801531222220675,9.801531222220675,7.1984687777793255,9,7,1,17,9.5,0.3015312222206745,0.3015312222206745,10,7,10-7
2025,1.0,2025-09-07,4:05PM,2025_1.0_2025-09-07_4:05PM_San Francisco 49ers_at_Seattle Seahawks,Seattle Seahawks,San Francisco 49ers,1,0,0,0,0,17,9.70510820941901,9.70510820941901,7.294891790580991,14,3,0,17,14.0,-4.294891790580991,4.294891790580991,10,7,10-7
2025,1.0,2025-09-04,8:20PM,2025_1.0_2025-09-04_8:20PM_Dallas Cowboys_at_Philadelphia Eagles,Philadelphia Eagles,Dallas Cowboys,1,0,0,0,0,17,9.480162618164321,9.480162618164321,7.5198373818356785,11,6,0,17,11.0,-1.5198373818356785,1.5198373818356785,9,8,9-8
2025,1.0,2025-09-05,8:00PM,2025_1.0_2025-09-05_8:00PM_Kansas City Chiefs_at_Los Angeles Chargers,Los Angeles Chargers,Kansas City Chiefs,1,0,0,0,0,17,9.188477986833293,9.188477986833293,7.811522013166707,11,6,0,17,11.0,-1.811522013166707,1.811522013166707,9,8,9-8
2025,1.0,2025-09-07,1:00PM,2025_1.0_2025-09-07_1:00PM_Las Vegas Raiders_at_New England Patriots,New England Patriots,Las Vegas Raiders,1,0,0,0,0,17,9.144610311474018,9.144610311474018,7.855389688525982,14,3,0,17,14.0,-4.855389688525982,4.855389688525982,9,8,9-8
2025,1.0,2025-09-07,4:25PM,2025_1.0_2025-09-07_4:25PM_Houston Texans_at_Los Angeles Rams,Los Angeles Rams,Houston Texans,1,0,0,0,0,17,9.106734399917494,9.106734399917494,7.893265600082506,12,5,0,17,12.0,-2.893265600082506,2.893265600082506,9,8,9-8
2025,1.0,2025-09-07,1:00PM,2025_1.0_2025-09-07_1:00PM_New York Giants_at_Washington Commanders,Washington Commanders,New York Giants,1,0,0,0,0,17,8.998094560596245,8.998094560596245,8.001905439403755,5,12,0,17,5.0,3.998094560596245,3.998094560596245,9,8,9-8
2025,1.0,2025-09-07,1:00PM,2025_1.0_2025-09-07_1:00PM_Carolina Panthers_at_Jacksonville Jaguars,Jacksonville Jaguars,Carolina Panthers,1,0,0,0,0,17,8.807764740947956,8.807764740947956,8.192235259052044,13,4,0,17,13.0,-4.192235259052044,4.192235259052044,9,8,9-8
2025,1.0,2025-09-07,1:00PM,2025_1.0_2025-09-07_1:00PM_Pittsburgh Steelers_at_New York Jets,Pittsburgh Steelers,New York Jets,0,0,0,0,0,17,8.791917852155459,8.791917852155459,8.208082147844541,10,7,0,17,10.0,-1.2080821478445412,1.2080821478445412,9,8,9-8
2025,1.0,2025-09-04,8:20PM,2025_1.0_2025-09-04_8:20PM_Dallas Cowboys_at_Philadelphia Eagles,Dallas Cowboys,Philadelphia Eagles,0,0,0,0,0,17,8.745132094606795,8.745132094606795,8.254867905393205,7,9,1,17,7.5,1.2451320946067952,1.2451320946067952,9,8,9-8
2025,1.0,2025-09-07,4:05PM,2025_1.0_2025-09-07_4:05PM_San Francisco 49ers_at_Seattle Seahawks,San Francisco 49ers,Seattle Seahawks,0,0,0,0,0,17,8.527952247228587,8.527952247228587,8.472047752771413,12,5,0,17,12.0,-3.472047752771413,3.472047752771413,9,8,9-8
2025,1.0,2025-09-07,1:00PM,2025_1.0_2025-09-07_1:00PM_Cincinnati Bengals_at_Cleveland Browns,Cincinnati Bengals,Cleveland Browns,0,0,0,0,0,17,8.327782043381719,8.327782043381719,8.672217956618281,6,11,0,17,6.0,2.3277820433817187,2.3277820433817187,8,9,8-9
2025,1.0,2025-09-07,4:25PM,2025_1.0_2025-09-07_4:25PM_Houston Texans_at_Los Angeles Rams,Houston Texans,Los Angeles Rams,0,0,0,0,0,17,8.181139795271715,8.181139795271715,8.818860204728285,12,5,0,17,12.0,-3.818860204728285,3.818860204728285,8,9,8-9
2025,1.0,2025-09-08,8:15PM,2025_1.0_2025-09-08_8:15PM_Minnesota Vikings_at_Chicago Bears,Minnesota Vikings,Chicago Bears,0,0,0,0,0,17,8.087757442821028,8.087757442821028,8.912242557178972,9,8,0,17,9.0,-0.9122425571789723,0.9122425571789723,8,9,8-9
2025,1.0,2025-09-05,8:00PM,2025_1.0_2025-09-05_8:00PM_Kansas City Chiefs_at_Los Angeles Chargers,Kansas City Chiefs,Los Angeles Chargers,0,0,0,0,0,17,8.079460013089806,8.079460013089806,8.920539986910194,6,11,0,17,6.0,2.0794600130898058,2.0794600130898058,8,9,8-9
2025,1.0,2025-09-07,1:00PM,2025_1.0_2025-09-07_1:00PM_Arizona Cardinals_at_New Orleans Saints,Arizona Cardinals,New Orleans Saints,0,0,0,0,0,17,8.009586422723272,8.009586422723272,8.990413577276728,3,14,0,17,3.0,5.009586422723272,5.009586422723272,8,9,8-9
2025,1.0,2025-09-07,1:00PM,2025_1.0_2025-09-07_1:00PM_Miami Dolphins_at_Indianapolis Colts,Miami Dolphins,Indianapolis Colts,0,0,0,0,0,17,7.942234995129983,7.942234995129983,9.057765004870017,7,10,0,17,7.0,0.9422349951299829,0.9422349951299829,8,9,8-9
2025,1.0,2025-09-08,8:15PM,2025_1.0_2025-09-08_8:15PM_Minnesota Vikings_at_Chicago Bears,Chicago Bears,Minnesota Vikings,1,0,0,0,0,17,7.912101008783911,7.912101008783911,9.08789899121609,11,6,0,17,11.0,-3.087898991216089,3.087898991216089,8,9,8-9
2025,1.0,2025-09-07,1:00PM,2025_1.0_2025-09-07_1:00PM_Tampa Bay Buccaneers_at_Atlanta Falcons,Atlanta Falcons,Tampa Bay Buccaneers,1,0,0,0,0,17,7.071333499541125,7.071333499541125,9.928666500458874,8,9,0,17,8.0,-0.928666500458875,0.928666500458875,7,10,7-10
2025,1.0,2025-09-07,1:00PM,2025_1.0_2025-09-07_1:00PM_Pittsburgh Steelers_at_New York Jets,New York Jets,Pittsburgh Steelers,1,0,0,0,0,17,7.00056394065997,7.00056394065997,9.99943605934003,3,14,0,17,3.0,4.00056394065997,4.00056394065997,7,10,7-10
2025,1.0,2025-09-07,1:00PM,2025_1.0_2025-09-07_1:00PM_Arizona Cardinals_at_New Orleans Saints,New Orleans Saints,Arizona Cardinals,1,0,0,0,0,17,6.990975650876205,6.990975650876205,10.009024349123795,6,11,0,17,6.0,0.9909756508762051,0.9909756508762051,7,10,7-10
2025,1.0,2025-09-07,1:00PM,2025_1.0_2025-09-07_1:00PM_Carolina Panthers_at_Jacksonville Jaguars,Carolina Panthers,Jacksonville Jaguars,0,0,0,0,0,17,6.5939554410489025,6.5939554410489025,10.406044558951098,8,9,0,17,8.0,-1.4060445589510975,1.4060445589510975,7,10,7-10
2025,1.0,2025-09-07,1:00PM,2025_1.0_2025-09-07_1:00PM_New York Giants_at_Washington Commanders,New York Giants,Washington Commanders,0,0,0,0,0,17,6.323809849514326,6.323809849514326,10.676190150485674,4,13,0,17,4.0,2.3238098495143262,2.3238098495143262,6,11,6-11
2025,1.0,2025-09-07,1:00PM,2025_1.0_2025-09-07_1:00PM_Las Vegas Raiders_at_New England Patriots,Las Vegas Raiders,New England Patriots,0,0,0,0,0,17,5.873906903935341,5.873906903935341,11.12609309606466,3,14,0,17,3.0,2.8739069039353407,2.8739069039353407,6,11,6-11
2025,1.0,2025-09-07,4:05PM,2025_1.0_2025-09-07_4:05PM_Tennessee Titans_at_Denver Broncos,Tennessee Titans,Denver Broncos,0,0,0,0,0,17,5.603031120636206,5.603031120636206,11.396968879363794,3,14,0,17,3.0,2.6030311206362056,2.6030311206362056,6,11,6-11
2025,1.0,2025-09-07,1:00PM,2025_1.0_2025-09-07_1:00PM_Cincinnati Bengals_at_Cleveland Browns,Cleveland Browns,Cincinnati Bengals,1,0,0,0,0,17,4.9706882971006445,4.9706882971006445,12.029311702899356,5,12,0,17,5.0,-0.029311702899355474,0.029311702899355474,5,12,5-12
